District,Year,Season,Area,Production,Yield,T2M,T2M_MAX,T2M_MIN,RH2M,Rainfall,Solar_Radiation,N,P,K,pH
Cuddalore,2017,Winter,91927,406593,4.42,25.51366667,28.12266667,23.48,74.089,115.43,1643,181,29.125,72.8,5.9
Cuddalore,2018,Autumn,35851,154858,4.32,27.37852459,29.22655738,25.87393443,79.97885246,417.6,941.03,181,29.125,72.8,5.9
Cuddalore,2018,Summer,6580,24580,3.74,29.18478261,31.915,27.07032609,74.37782609,96.87,2030.13,181,29.125,72.8,5.9
Cuddalore,2018,Winter,90929,320124,3.52,25.14144444,27.47288889,23.231,78.23522222,92.23,1639.9,181,29.125,72.8,5.9
Cuddalore,2019,Autumn,34829,137820,3.96,27.57377049,29.00327869,26.34213115,82.47737705,373.43,984.43,181,29.125,72.8,5.9
Cuddalore,2019,Summer,8077,32096,3.97,29.97695652,33.10152174,27.58195652,71.61630435,46.46,2186.08,181,29.125,72.8,5.9
Cuddalore,2019,Winter,89245,325393,3.65,25.81266667,28.17766667,23.98655556,76.90555556,110.78,1615.4,181,29.125,72.8,5.9
Cuddalore,2020,Autumn,38389,164666,4.29,27.59032787,29.36688525,25.97852459,81.53852459,496.7,987.49,133,37.5,237.5,7.1
Cuddalore,2020,Summer,9248,37034,4,29.7476087,32.63543478,27.60184783,71.2601087,84.43,2095.54,133,37.5,237.5,7.1
Cuddalore,2020,Winter,89197,240104,2.69,25.96230769,28.01208791,24.37351648,77.09,307.61,1586.36,133,37.5,237.5,7.1
Cuddalore,2021,Autumn,38306,151225,3.95,27.34344262,28.54327869,26.2704918,85.90295082,937.66,822.66,133,37.5,237.5,7.1
Cuddalore,2021,Summer,10529,43053,4.09,28.94195652,31.60467391,26.93586957,75.35554348,124.3,2104.21,133,37.5,237.5,7.1
Cuddalore,2021,Winter,93906,299560,3.19,25.50511111,27.42177778,23.89644444,79.64911111,211.73,1544.17,133,37.5,237.5,7.1
Cuddalore,2022,Autumn,34368,130949,3.81,27.0547541,28.77836066,25.59,81.24885246,416.83,908.69,133,37.5,237.5,7.1
Cuddalore,2022,Summer,10275,41863,4.07,29.07663043,31.87065217,26.90021739,75.82315217,171.16,1962.56,133,37.5,237.5,7.1
Cuddalore,2022,Winter,94194,328768,3.49,25.68611111,27.63611111,24.13866667,80.32566667,172.72,1518.02,133,37.5,237.5,7.1
Dharmapuri,2010,Kharif,22862,93207,4.08,25.61811475,30.85286885,21.52131148,76.62737705,489.09,2172.63,124.46,16.49,127.85,7.27
Dharmapuri,2011,Kharif,27067,128226,4.74,26.58278689,32.79221311,21.69106557,67.91934426,338.57,2322.22,124.46,16.49,127.85,7.27
Dharmapuri,2012,Kharif,12003,53669,4.47,26.78278689,32.9254918,21.87803279,67.50959016,352.71,2378.53,124.46,16.49,127.85,7.27
Dharmapuri,2013,Kharif,26689,132535,4.97,25.76327869,31.2207377,21.48819672,73.08442623,476.3,2181.12,124.46,16.49,127.85,7.27
Dharmapuri,2014,Kharif,18303,95163,5.2,26.92516393,32.96614754,22.20278689,68.6142623,324.1,2336.56,124.46,16.49,127.85,7.27
Dharmapuri,2015,Kharif,33349,149426,4.48,27.1652459,33.36901639,22.19327869,68.10721311,279.67,2486.25,124.46,16.49,127.85,7.27
Dharmapuri,2016,Kharif,11432,42883,3.75,26.755,32.79877049,21.85557377,68.68901639,270.61,2294.86,124.46,16.49,127.85,7.27
Dharmapuri,2017,Autumn,1708,7131,4.18,23.90737705,28.21,20.42459016,85.00098361,207.48,954.65,188,22,250,7.6
Dharmapuri,2017,Summer,4961,24314,4.9,29.37695652,36.59521739,23.12532609,55.39565217,220.54,2053.96,188,22,250,7.6
Dharmapuri,2017,Winter,15564,75766,4.87,23.18255556,31.432,16.61955556,64.034,41.15,1696.46,188,22,250,7.6
Dharmapuri,2018,Autumn,990,4244,4.29,24.65213115,31.02081967,19.78885246,74.28868852,154.01,1065.47,188,22,250,7.6
Dharmapuri,2018,Summer,478,2270,4.75,28.86543478,35.95032609,22.6501087,56.51402174,183.47,2099.03,188,22,250,7.6
Dharmapuri,2018,Winter,2421,10511,4.34,23.54477778,31.78744444,17.12566667,65.365,17.09,1714.27,188,22,250,7.6
Dharmapuri,2019,Autumn,8,38,4.75,24.00098361,28.14360656,20.74688525,86.66032787,261.67,1033.11,188,22,250,7.6
Dharmapuri,2019,Summer,2575,11272,4.38,30.30423913,37.98717391,23.56923913,49.95043478,144.51,2184.95,188,22,250,7.6
Dharmapuri,2019,Winter,13229,56481,4.27,24.09333333,31.94855556,17.903,65.99944444,38.33,1639.54,188,22,250,7.6
Dharmapuri,2020,Autumn,212,911,4.3,23.83,28.41540984,20.1295082,84.1857377,248.01,978.05,172,25,305,7.79
Dharmapuri,2020,Summer,5287,23880,4.52,30.1176087,37.68293478,23.60695652,50.71858696,83.86,2129.67,172,25,305,7.79
Dharmapuri,2020,Winter,15471,70409,4.55,23.64747253,31.20131868,17.79604396,70.59120879,60.04,1675.08,172,25,305,7.79
Dharmapuri,2021,Autumn,506,2291,4.53,23.85393443,27.39983607,21.06459016,87.92508197,454.66,790.28,172,25,305,7.79
Dharmapuri,2021,Summer,6302,35314,5.6,28.32586957,35.62043478,22.20978261,59.02315217,353.98,2131.64,172,25,305,7.79
Dharmapuri,2021,Winter,19216,78874,4.1,22.49911111,29.38433333,17.18688889,76.24277778,74.38,1581.49,172,25,305,7.79
Dharmapuri,2022,Autumn,955,4385,4.59,23.25721311,27.79639344,19.51393443,84.97344262,271.53,916.89,172,25,305,7.79
Dharmapuri,2022,Summer,5947,27224,4.58,28.26456522,35.51206522,22.1725,60.38315217,265.54,1983.23,172,25,305,7.79
Dharmapuri,2022,Winter,21021,88129,4.19,22.91611111,29.57066667,17.82222222,76.63855556,79.71,1565.85,172,25,305,7.79
Dindigul,2010,Kharif,18349,98053,5.34,27.83360656,33.56565574,23.51606557,67.2857377,294.63,2234.85,110,17.56,291.667,8.2
Dindigul,2011,Kharif,19158,103376,5.4,28.15754098,34.40745902,23.41934426,63.335,277.46,2317.13,110,17.56,291.667,8.2
Dindigul,2012,Kharif,9476,30806,3.25,28.43778689,34.51327869,23.72909836,63.4354918,247.16,2404.04,110,17.56,291.667,8.2
Dindigul,2013,Kharif,4234,25758,6.08,28.04311475,33.7502459,23.80557377,64.17877049,236.12,2232.09,110,17.56,291.667,8.2
Dindigul,2014,Kharif,12071,70676,5.86,28.56877049,34.44770492,24.17909836,64.25581967,209.52,2409.26,110,17.56,291.667,8.2
Dindigul,2015,Kharif,14989,71945,4.8,28.52491803,34.5992623,23.78,65.70967213,269.45,2483.05,110,17.56,291.667,8.2
Dindigul,2016,Kharif,1522,4506,2.96,28.44336066,34.6197541,23.70598361,64.06295082,205.63,2407.76,110,17.56,291.667,8.2
Dindigul,2017,Autumn,107,412,3.85,25.78836066,30.22262295,22.32442623,81.42459016,225.59,988.63,240,21,295,7.9
Dindigul,2017,Summer,3492,19995,5.73,30.45663043,37.25793478,24.77380435,57.1551087,159.88,2011,240,21,295,7.9
Dindigul,2017,Winter,5203,29048,5.58,24.71877778,32.22688889,18.76844444,67.18988889,68.14,1700.5,240,21,295,7.9
Dindigul,2018,Autumn,458,1963,4.29,25.83639344,31.09704918,21.77016393,78.6457377,231.84,991.92,240,21,295,7.9
Dindigul,2018,Summer,5570,21086,3.79,29.47271739,36.055,24.02195652,61.37304348,190.63,1964.07,240,21,295,7.9
Dindigul,2018,Winter,3193,12799,4.01,24.64088889,31.99055556,19.02544444,70.806,36.85,1681.03,240,21,295,7.9
Dindigul,2019,Autumn,217,891,4.11,25.5204918,29.48,22.41508197,85.42360656,334.82,1014.32,240,21,295,7.9
Dindigul,2019,Summer,4499,21577,4.8,31.66021739,39.14271739,25.33358696,50.71467391,79.97,2126.41,240,21,295,7.9
Dindigul,2019,Winter,3424,14468,4.23,25.22533333,32.38466667,19.55444444,70.68233333,65.47,1633.87,240,21,295,7.9
Dindigul,2020,Autumn,232,1011,4.36,25.74803279,30.50114754,22.04393443,80.75704918,413.34,1026.45,186.3,10.23,237.74,7.9
Dindigul,2020,Summer,5290,23330,4.41,30.89336957,38.0776087,24.94369565,54.90576087,74.68,2018.61,186.3,10.23,237.74,7.9
Dindigul,2020,Winter,4004,12082,3.02,24.66032967,31.14857143,19.50362637,75.73120879,128.03,1618.8,186.3,10.23,237.74,7.9
Dindigul,2021,Autumn,1704,6962,4.09,25.35491803,28.94278689,22.5195082,86.56786885,456.59,863.26,186.3,10.23,237.74,7.9
Dindigul,2021,Summer,5865,25900,4.42,28.72565217,35.44576087,23.3651087,65.2373913,145.2,2009.85,186.3,10.23,237.74,7.9
Dindigul,2021,Winter,5181,21266,4.1,23.27566667,28.72144444,18.93722222,83.604,194.14,1557.83,186.3,10.23,237.74,7.9
Dindigul,2022,Autumn,1868,7191,3.85,24.97967213,29.3742623,21.39540984,82.44213115,326.53,937.13,186.3,10.23,237.74,7.9
Dindigul,2022,Summer,5229,25472,4.87,29.04608696,35.90108696,23.46619565,63.45391304,211.19,1862.64,186.3,10.23,237.74,7.9
Dindigul,2022,Winter,6450,24878,3.86,24.29077778,30.16944444,19.71744444,79.34655556,126.71,1565.93,186.3,10.23,237.74,7.9
Erode,2010,Kharif,36659,154538,4.22,26.28508197,32.1395082,22.01508197,72.0645082,346.78,2201.19,157.213,18.45,192.886,7.8
Erode,2011,Kharif,33719,144357,4.28,26.75934426,33.10778689,22.06131148,66.78286885,228.98,2243.84,157.213,18.45,192.886,7.8
Erode,2012,Kharif,6603,29125,4.41,27.30155738,33.81631148,22.4904918,64.5995082,236.14,2365.51,157.213,18.45,192.886,7.8
Erode,2013,Kharif,30889,163021,5.28,26.4107377,32.17770492,22.20295082,69.11213115,307.55,2179.79,157.213,18.45,192.886,7.8
Erode,2014,Kharif,37192,176997,4.76,27.18147541,33.16336066,22.7292623,67.42918033,257.39,2362.08,157.213,18.45,192.886,7.8
Erode,2015,Kharif,34339,146570,4.27,27.42262295,33.7307377,22.60721311,67.11786885,261.41,2489.08,157.213,18.45,192.886,7.8
Erode,2016,Kharif,695,1568,2.26,27.21008197,33.58655738,22.34614754,66.09262295,200.64,2310.79,157.213,18.45,192.886,7.8
Erode,2017,Autumn,60,231,3.85,24.55442623,29.23393443,20.94213115,82.84180328,203.87,977.43,175,16,323,8
Erode,2017,Summer,1731,7734,4.47,29.64717391,36.58402174,23.76347826,55.0798913,185.03,2043.9,175,16,323,8
Erode,2017,Winter,8977,46492,5.18,24.18788889,32.12322222,17.74911111,59.12822222,51.72,1751.32,175,16,323,8
Erode,2018,Autumn,237,1015,4.28,25.24819672,31.36327869,20.51983607,73.49491803,175.74,1063.36,175,16,323,8
Erode,2018,Summer,8132,34057,4.19,29.20119565,35.84326087,23.40608696,55.48293478,180.42,2052.53,175,16,323,8
Erode,2018,Winter,27192,141488,5.2,24.34644444,32.23133333,18.21177778,62.82722222,26.67,1726.61,175,16,323,8
Erode,2019,Autumn,306,1257,4.11,24.49311475,28.65557377,21.2142623,85.80442623,269.26,1035.3,175,16,323,8
Erode,2019,Summer,7505,32297,4.3,30.98423913,38.30619565,24.43902174,47.02206522,106.13,2168.23,175,16,323,8
Erode,2019,Winter,26756,124038,4.64,25.01733333,32.53566667,18.93622222,61.75222222,44.08,1695.65,175,16,323,8
Erode,2020,Autumn,257,1120,4.36,24.52901639,29.50016393,20.66590164,81.6657377,260.37,1030.14,217,11.25,250,7
Erode,2020,Summer,1776,7316,4.12,30.58586957,37.57391304,24.44423913,49.03391304,56.17,2078.16,217,11.25,250,7
Erode,2020,Winter,27117,134468,4.96,24.42527473,31.69153846,18.69912088,68.41659341,71.06,1688.28,217,11.25,250,7
Erode,2021,Autumn,4679,19115,4.09,24.21098361,27.89032787,21.39213115,87.66655738,431.28,853.37,217,11.25,250,7
Erode,2021,Summer,3986,15914,3.99,28.49858696,35.44086957,22.69141304,59.08586957,276.23,2071.94,217,11.25,250,7
Erode,2021,Winter,21786,87522,4.02,23.12566667,29.64377778,17.97844444,76.09488889,111.78,1595.88,217,11.25,250,7
Erode,2022,Autumn,5094,19606,3.85,24.0657377,28.91409836,20.21672131,82.08688525,273.86,963.83,217,11.25,250,7
Erode,2022,Summer,3701,14714,3.98,28.61141304,35.81869565,22.67836957,59.40554348,225.63,1905.14,217,11.25,250,7
Erode,2022,Winter,22267,97397,4.37,23.72544444,30.33566667,18.63722222,74.08066667,84.11,1615.61,217,11.25,250,7
Kallakurichi,2020,Autumn,4679,22012,4.7,25.06065574,29.52278689,21.56606557,83.36819672,284.5,1004.49,173,11,473,8.1
Kallakurichi,2020,Summer,20256,80988,4,30.77608696,38.65,24.47,54.23347826,37.32,2087.61,173,11,473,8.1
Kallakurichi,2020,Winter,36680,132832,3.62,23.69714286,30.2067033,18.7421978,78.11813187,185.13,1628.67,173,11,473,8.1
Kallakurichi,2021,Autumn,10389,44292,4.26,24.77459016,27.98819672,22.27016393,88.95,613.5,823.4,173,11,473,8.1
Kallakurichi,2021,Summer,14466,62165,4.3,28.7973913,36.05423913,23.1126087,63.60597826,184.71,2078.06,173,11,473,8.1
Kallakurichi,2021,Winter,39472,143419,3.63,22.72077778,28.49277778,18.20777778,82.86088889,142.18,1550.98,173,11,473,8.1
Kallakurichi,2022,Autumn,9855,37452,3.8,24.51557377,28.92721311,20.99803279,84.25,306.21,915.54,173,11,473,8.1
Kallakurichi,2022,Summer,10619,40301,3.8,28.87913043,36.05597826,23.17173913,63.83815217,190.33,1938.5,173,11,473,8.1
Kallakurichi,2022,Winter,39546,156606,3.96,23.38888889,29.26066667,18.97611111,81.48222222,121.12,1548.13,173,11,473,8.1
Kanchipuram,2010,Kharif,95739,378628,3.95,28.6492623,32.48795082,25.57942623,75.26016393,527.12,2216.58,107.4,27.103,195.6,7.121
Kanchipuram,2011,Kharif,90419,395412,4.37,29.47991803,33.97442623,25.90229508,68.32295082,496.18,2465.74,107.4,27.103,195.6,7.121
Kanchipuram,2012,Kharif,77784,344875,4.43,29.54262295,33.9492623,26.05483607,67.60368852,384.15,2466.01,107.4,27.103,195.6,7.121
Kanchipuram,2013,Kharif,85564,391837,4.58,28.68516393,32.83442623,25.27311475,72.60729508,570.75,2266.81,107.4,27.103,195.6,7.121
Kanchipuram,2014,Kharif,61881,289904,4.68,29.5652459,33.97967213,26.03598361,69.52647541,462.84,2437.2,107.4,27.103,195.6,7.121
Kanchipuram,2015,Kharif,97738,415302,4.25,29.69418033,34.03311475,26.21409836,69.8907377,417.52,2541.98,107.4,27.103,195.6,7.121
Kanchipuram,2016,Kharif,72617,288044,3.97,29.12336066,33.40639344,25.59155738,71.70106557,418.33,2377.04,107.4,27.103,195.6,7.121
Kanchipuram,2017,Autumn,27105,107173,3.95,26.74442623,29.23901639,24.78704918,84.32344262,587.71,908.71,159,69.5,155.5,7.65
Kanchipuram,2017,Summer,22227,106712,4.8,30.88097826,36.79271739,26.51923913,62.52934783,21.76,2088.96,159,69.5,155.5,7.65
Kanchipuram,2017,Winter,41282,180691,4.38,24.70722222,29.39566667,21.20577778,73.33633333,49.91,1654.12,159,69.5,155.5,7.65
Kanchipuram,2018,Autumn,16860,93241,5.53,26.95540984,30.42147541,24.38491803,78.15032787,353.41,996.08,159,69.5,155.5,7.65
Kanchipuram,2018,Summer,15696,67344,4.29,30.0273913,35.43119565,25.97706522,65.92445652,43.75,2106.35,159,69.5,155.5,7.65
Kanchipuram,2018,Winter,37819,167572,4.43,24.46922222,28.86955556,21.22522222,76.23122222,66.95,1638.78,159,69.5,155.5,7.65
Kanchipuram,2019,Autumn,9561,48735,5.1,26.87983607,29.38967213,24.87032787,83.54704918,398.01,998.9,159,69.5,155.5,7.65
Kanchipuram,2019,Summer,46638,231225,4.96,30.8725,36.77423913,26.46967391,63.34608696,14.36,2191.59,159,69.5,155.5,7.65
Kanchipuram,2019,Winter,31130,153376,4.93,25.21977778,29.60422222,22.06344444,75.12944444,138.74,1591.7,159,69.5,155.5,7.65
Kanchipuram,2020,Autumn,6674,31393,4.7,26.86885246,29.66245902,24.47081967,82.87967213,611.5,959.35,147,21.3,268.5,6.81
Kanchipuram,2020,Summer,25749,103247,4.01,30.16695652,35.63141304,26.06097826,65.87836957,138.31,2132.09,147,21.3,268.5,6.81
Kanchipuram,2020,Winter,15316,50787,3.32,25.08791209,28.90098901,22.30043956,76.70065934,246.62,1600.97,147,21.3,268.5,6.81
Kanchipuram,2021,Autumn,8713,36682,4.21,26.81983607,28.90065574,25.13311475,86.66,953.52,789.98,147,21.3,268.5,6.81
Kanchipuram,2021,Summer,26882,115531,4.3,29.54445652,34.85195652,25.60304348,68.07793478,77.28,2133.4,147,21.3,268.5,6.81
Kanchipuram,2021,Winter,15398,36621,2.38,24.55266667,28.10911111,21.83433333,79.55755556,276.86,1558.34,147,21.3,268.5,6.81
Kanchipuram,2022,Autumn,10104,41816,4.14,26.27967213,29.04983607,24.16377049,82.74491803,509,889.97,147,21.3,268.5,6.81
Kanchipuram,2022,Summer,28094,115789,4.12,29.72706522,34.96326087,25.80847826,68.3648913,79.77,1991.48,147,21.3,268.5,6.81
Kanchipuram,2022,Winter,13752,36078,2.62,24.86511111,28.42166667,22.18555556,80.44555556,241.1,1516.17,147,21.3,268.5,6.81
Kanniyakumari,2010,Kharif,16989,80387,4.73,25.72040984,29.94827869,23.0042623,81.56352459,316.25,2179.12,211.3,54.66,324.14,6.9
Kanniyakumari,2011,Kharif,16617,90110,5.42,25.9904918,30.53106557,23.1057377,78.80565574,223.04,2320.14,211.3,54.66,324.14,6.9
Kanniyakumari,2012,Kharif,12412,57882,4.66,26.2695082,30.75729508,23.42319672,78.16557377,184.7,2426.03,211.3,54.66,324.14,6.9
Kanniyakumari,2013,Kharif,13619,66703,4.9,25.12721311,29.2757377,22.04491803,83.30934426,360.84,1092.85,211.3,54.66,324.14,6.9
Kanniyakumari,2014,Kharif,13176,66943,5.08,25.74368852,29.41434426,23.37934426,83.2857377,381.81,2341.35,211.3,54.66,324.14,6.9
